tile_id,plasmid_length,insert_length,lvl1_group,position,gg_ready,domestication_mutations,cds_features,gene_features,total_features,file
36,8382,6132,2,6,True,0,7,9,24,tile_036.gb
37,8571,6321,2,7,True,0,8,7,23,tile_037.gb
38,8454,6204,2,8,True,0,11,14,33,tile_038.gb
39,8371,6121,2,9,False,3,6,6,23,tile_039.gb
40,9250,7000,2,10,False,1,8,10,28,tile_040.gb
41,8568,6318,2,11,False,1,5,4,20,tile_041.gb
42,8650,6400,2,12,False,0,11,10,30,tile_042.gb
43,10024,7774,2,13,False,1,9,8,26,tile_043.gb
44,9703,7453,2,14,False,0,7,6,22,tile_044.gb
45,9250,7000,3,0,False,0,9,11,29,tile_045.gb
46,9677,7427,3,1,False,0,8,9,26,tile_046.gb
47,9293,7043,3,2,False,2,6,5,21,tile_047.gb
48,10497,8247,3,3,True,0,9,8,25,tile_048.gb
49,7498,5248,3,4,True,0,6,5,19,tile_049.gb
50,8440,6190,3,5,True,0,8,7,23,tile_050.gb
51,8523,6273,3,6,True,0,5,4,17,tile_051.gb
52,8025,5775,3,7,True,0,7,6,21,tile_052.gb
53,10242,7992,3,8,True,0,6,5,19,tile_053.gb
54,8340,6090,3,9,True,0,7,6,21,tile_054.gb
55,8874,6624,3,10,False,1,9,8,26,tile_055.gb
56,8250,6000,3,11,True,0,8,7,23,tile_056.gb
57,8602,6352,3,12,True,0,7,6,21,tile_057.gb
58,9125,6875,3,13,True,0,8,7,23,tile_058.gb
59,9107,6857,3,14,True,0,11,11,30,tile_059.gb
60,9250,7000,4,0,True,0,5,4,17,tile_060.gb
61,9563,7313,4,1,True,0,6,5,19,tile_061.gb
62,8394,6144,4,2,True,0,7,6,21,tile_062.gb
63,8881,6631,4,3,True,0,10,9,27,tile_063.gb
64,9658,7408,4,4,True,0,8,7,23,tile_064.gb
65,9345,7095,4,5,True,0,8,7,23,tile_065.gb
66,9340,7090,4,6,False,0,7,6,22,tile_066.gb
67,8350,6100,4,7,True,0,6,5,19,tile_067.gb
68,9867,7617,4,8,True,0,7,6,21,tile_068.gb
69,8450,6200,4,9,False,1,8,8,25,tile_069.gb
70,9252,7002,4,10,True,0,7,6,21,tile_070.gb
71,8594,6344,4,11,True,0,7,6,21,tile_071.gb
72,8250,6000,4,12,False,0,7,5,21,tile_072.gb
73,8983,6733,4,13,True,0,6,5,19,tile_073.gb
74,8933,6683,4,14,True,0,7,6,21,tile_074.gb
75,8250,6000,5,0,True,0,8,7,23,tile_075.gb
76,8130,5880,5,1,False,0,6,5,20,tile_076.gb
77,10217,7967,5,2,True,0,5,7,20,tile_077.gb
78,8488,6238,5,3,True,0,7,7,22,tile_078.gb
79,8832,6582,5,4,True,0,6,5,19,tile_079.gb
80,9536,7286,5,5,True,0,7,6,21,tile_080.gb
81,8659,6409,5,6,True,0,9,8,25,tile_081.gb
82,9250,7000,5,7,True,0,7,7,22,tile_082.gb
83,8250,6000,5,8,True,0,8,11,27,tile_083.gb
84,8334,6084,5,9,True,0,12,11,31,tile_084.gb
85,8250,6000,5,10,True,0,11,12,31,tile_085.gb
86,6514,4264,5,11,True,0,5,4,17,tile_086.gb
